id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2110,NCMMS8,1.5,1.5,1.5,1.5,21,40,60,0,0,1,115656,12,0,0,0,0
2111,NCMPR7,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2112,NCMPS7,129,129,129,129,205,20,2580,0,0,2,103956,12,0,0,0,0
2113,NCMSI7,50,50,50,50,205,531,26550,0,0,2,132440,12,0,0,0,0
2114,NCMSJ7,159,159,159,159,198,60,9540,0,0,1,120536,12,0,0,0,0
2115,NCMSL7,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2116,NCMU27,41.5,41.5,41.5,41.5,41.5,60,1980,0,97,1,101604,12,0,1,0,1
2117,NCMU47,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2118,NCMU57,86,86,86,86,74,112,10088,0,0,3,151203,12,0,0,0,0
2119,NCMUA7,97,97,90,90,74,601,54664,0,0,13,155649,12,0,0,0,0
2120,NCMUB7,48,54,48,48,38,106,5178,0,0,5,152144,12,0,0,0,0
2121,NCMUD7,25.5,27,23,24.5,110,405,9758,0,0,9,153053,12,0,0,0,0
2122,NCMUJ7,14,15,11.5,11.5,32,70,930,0,0,4,144155,12,0,0,0,0
2123,NCMV48,5,5,5,5,35,200,1000,0,0,1,112528,12,0,0,0,0
2124,NCMV88,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2125,NCMVC8,13.5,14,13.5,14,56,8,111,0,0,2,141741,12,0,0,0,0
2126,NCMVE8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2127,NCMVF8,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2128,NCMVH8,22,24,22,24,15,220,4920,0,0,4,112800,12,0,0,0,0
2129,NCMVJ8,10,11,10,10,16.5,465,4830,0,12,10,152140,12,0,242,0,1
2130,NCMVL8,7.5,7.5,5.5,5.5,8,510,2925,0,0,6,141113,12,0,0,0,0
2131,NCMVP8,22,22,22,22,22,200,850,0,0,4,141113,12,0,0,0,0
2132,NCMY88,468,468,468,468,0,1,468,0,0,1,102927,12,0,0,0,0
2133,NCMYH7,18,18.5,17,18.5,14,164,2986,0,18,5,153005,12,0,16,0,1
2134,NCMYL7,24.5,24.5,24.5,24.5,24.5,200,800,0,0,1,110346,12,0,0,0,0
2135,NCMZ48,0,0,0,0,0,25,175,0,0,1,135315,12,0,0,0,0
2136,NCMZ69,12,12,12,12,26,10,120,0,0,1,104100,12,0,0,0,0
2137,NCMZA7,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2138,NCMZM8,16.5,19.5,16.5,19.5,36,110,1845,0,0,2,141944,12,0,0,0,0
2139,NCMZO8,34,34,34,34,0,20,680,0,0,1,102753,12,0,0,0,0
2140,NCMZV8,28,28,24,25.5,0,110,2838,0,0,3,144925,12,0,0,0,0
2141,NCR,1,1,1,1,1,85000,850,1,1.1,1,122209,4,1026000,89822,1,1
2142,NCZ,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2143,NDIA,0,0,0,0,0,0,0,0,5796,0,,0,0,0,0,0
2144,NDQ,0,0,0,2659,0,26019,691983,0,0,95,101109,0,0,0,0,0
2145,NDXKOD,2087,2144,2087,2144,2900,1000,21155,2155,2157,2,113320,4,3000,3000,1,1
2146,NDXKOH,798,798,798,798,1093,160,1277,798,0,1,140611,4,91,0,1,0
2147,NDXKOS,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2148,NEA,0,0,0,0,0,0,0,0,118,0,,0,18942,6213,1,3
2149,NEC,0,0,0,0,0,0,0,0,0,0,,0,0,13682,0,0
2150,NEC4J9,5,5,5,5,0,750,3750,0,0,1,134824,12,0,0,0,0
2151,NEC4U9,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2152,NECKOB,50,50,50,50,57.5,4000,2000,49.5,50.5,1,112703,4,1,1,1,1
2153,NECKOD,68.5,68.5,68.5,68.5,98.5,4000,2740,68,69,1,113318,4,1,1,1,1
2154,NES,0,0,0,0,0,0,0,0,0,0,,0,416522,0,4,0
2155,NET,0,0,0,0,0,0,0,0,0,0,,0,0,226349,0,2
2156,NEU,0,0,0,0,0,0,0,0,0,0,,0,0,1371,0,3
2157,NEW,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2158,NFNG,8655,8750,8200,8450,8810,8979,760182,8400,8750,34,154220,8,281,232,1,1
2159,NGI,0,0,0,0,0,0,0,0,0,0,,0,0,357,0,0
2160,NHC,0,0,0,0,0,0,0,0,0,0,,0,21735,0,17,0
2161,NHE,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2162,NHF,0,0,0,728,0,48698,353883,0,0,148,101109,0,0,0,0,0
2163,NIC,0,0,0,126.7,0,184500,233400,0,0,178,101105,0,53396,0,7,0
2164,NIM,52,52,49,49,51,56771,28629,49,51,11,142055,8,11037,9000,1,1
2165,NIS,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2166,NKL,18.5,18.5,18,18.5,18.5,176832,32379,18,19,12,155126,8,74721,10000,2,1
2167,NML,0,0,0,0,0,0,0,0,0,0,,0,74250,0,2,0
2168,NMT,0,0,0,0,0,72727,95604,132,0,55,101109,0,18905,0,8,0
2169,NNG,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2170,NNUK,165.5,165.5,165.5,165.5,165,57547,95240,0,0,5,144502,8,0,0,0,0
2171,NOL,0,0,0,0,0,0,0,0,215,0,,0,0,28620,0,0
