id,asx_code,order_type,buy,price,quantity,orderid,orderdate
118,GAL,0,1,0,0,69119901002315E8,"2022-05-25 06:51:45"
119,GAL,0,1,60,30000,6911990100107F13,"2022-05-25 06:51:45"
120,GAL,0,1,60,2000,69119901001BD5B0,"2022-05-25 06:51:45"
121,GAL,0,1,60,16666,69119901002E195B,"2022-05-25 06:51:45"
122,GAL,0,1,60,2000,69136781002563F6,"2022-05-25 06:51:45"
123,GAL,0,1,60,10000,6914CF41001151CD,"2022-05-25 06:51:45"
124,GAL,0,1,59.5,20000,691199010023E7AB,"2022-05-25 06:51:45"
125,GAL,0,1,57,4000,6914CF4100032730,"2022-05-25 06:51:45"
126,GAL,0,1,56,2000,6911990100064CAD,"2022-05-25 06:51:45"
127,GAL,0,1,55,3000,691199010006931E,"2022-05-25 06:51:45"
128,GAL,0,1,55,1818,69136781002BD554,"2022-05-25 06:51:45"
129,GAL,0,1,55,300,69163781002CC882,"2022-05-25 06:51:45"
130,GAL,0,1,54,1850,6911990100032D03,"2022-05-25 06:51:45"
131,GAL,0,1,54,5000,69119901000330D1,"2022-05-25 06:51:45"
132,GAL,0,1,52,10000,690DC7810007E654,"2022-05-25 06:51:45"
133,GAL,0,1,51,1960,6911990100032895,"2022-05-25 06:51:45"
134,GAL,0,1,50,2000,690DC781000748A7,"2022-05-25 06:51:45"
135,GAL,0,1,50,2000,690DC781000B1680,"2022-05-25 06:51:45"
136,GAL,0,1,50,40000,690DC7810025F8AC,"2022-05-25 06:51:45"
137,GAL,0,1,50,10000,690DC7810034DA5A,"2022-05-25 06:51:45"
138,GAL,0,1,50,1020,691199010003292D,"2022-05-25 06:51:45"
139,GAL,0,1,50,150000,691D41410032E17D,"2022-05-25 06:51:45"
140,GAL,0,1,48,102121,690C5F410045299E,"2022-05-25 06:51:45"
141,GAL,0,1,48,2500,690DC7810006942E,"2022-05-25 06:51:45"
142,GAL,0,1,47.5,85000,690DC7810008FC82,"2022-05-25 06:51:45"
143,GAL,0,1,47,100000,690DC7810006B177,"2022-05-25 06:51:45"
144,GAL,0,2,95,1000,691D4141004052DC,"2022-05-25 06:51:45"
145,GAL,0,2,96.5,7500,691D41410038D237,"2022-05-25 06:51:45"
146,GAL,0,2,97,11836,691D414100331FD4,"2022-05-25 06:51:45"
147,GAL,0,2,97.5,5000,691D4141003418B6,"2022-05-25 06:51:45"
148,GAL,0,2,97.5,16100,691D4141004002FF,"2022-05-25 06:51:45"
149,GAL,0,2,98.5,10000,691D414100345386,"2022-05-25 06:51:45"
150,GAL,0,2,99.5,16000,691D414100388234,"2022-05-25 06:51:45"
151,GAL,0,2,100,8700,691D414100329B5B,"2022-05-25 06:51:45"
152,GAL,0,2,100,10300,691D41410033C2D2,"2022-05-25 06:51:45"
153,GAL,0,2,100,1000,691D41410033EE9D,"2022-05-25 06:51:45"
154,GAL,0,2,100,700,691D414100375FD4,"2022-05-25 06:51:45"
155,GAL,0,2,100,589,691D41410039CBC9,"2022-05-25 06:51:45"
156,GAL,0,2,101,16000,691D4141001DC8C8,"2022-05-25 06:51:45"
157,GAL,0,2,102,5000,691D414100317FD6,"2022-05-25 06:51:45"
158,GAL,0,2,102.5,7500,691D4141002D295F,"2022-05-25 06:51:45"
159,GAL,0,2,103,15000,691D4141002F5500,"2022-05-25 06:51:45"
160,GAL,0,2,103,10000,691D4141003D0756,"2022-05-25 06:51:45"
161,GAL,0,2,104,6000,691D4141002B8B1F,"2022-05-25 06:51:45"
162,GAL,0,2,104.5,25526,691D4141002CB815,"2022-05-25 06:51:45"
163,GAL,0,2,105,8400,691D41410031605C,"2022-05-25 06:51:45"
164,GAL,0,2,105,500,691D41410036D9C4,"2022-05-25 06:51:45"
165,GAL,0,2,105,6100,691D41410038AC67,"2022-05-25 06:51:45"
166,GAL,0,2,105,4651,691D4141003CF63B,"2022-05-25 06:51:45"
167,GAL,0,2,106,30000,691D4141003CE605,"2022-05-25 06:51:45"
168,GAL,0,2,106.5,3000,691D4141002EC486,"2022-05-25 06:51:45"
169,GAL,0,2,107.5,2190,691D4141002232BA,"2022-05-25 06:51:45"
170,GAL,0,2,107.5,7945,691D4141002EFCDF,"2022-05-25 06:51:45"
171,GAL,0,2,108,12500,691D4141001BF97D,"2022-05-25 06:51:45"
172,GAL,0,2,109.5,7500,691D414100173E0B,"2022-05-25 06:51:45"
173,GAL,0,2,109.5,4000,691D414100298A79,"2022-05-25 06:51:45"
174,GAL,0,2,109.5,19900,691D4141003293B9,"2022-05-25 06:51:45"
175,GAL,0,2,110,20000,691D4141001C3606,"2022-05-25 06:51:45"
176,GAL,0,2,110,5999,691D4141002361BB,"2022-05-25 06:51:45"
177,GAL,0,2,110,400,691D414100337039,"2022-05-25 06:51:45"
178,GAL,0,2,110,2500,691D41410035E050,"2022-05-25 06:51:45"
179,GAL,0,2,110,10400,691D414100387AD0,"2022-05-25 06:51:45"
180,GAL,0,2,110,5000,691D4141003D2751,"2022-05-25 06:51:45"
181,GAL,0,2,111,60000,691D414100274A13,"2022-05-25 06:51:45"
182,GAL,0,2,111.5,10695,691D414100366F9C,"2022-05-25 06:51:45"
183,GAL,0,2,112,1896,691D414100151E0F,"2022-05-25 06:51:45"
184,GAL,0,2,112,9200,691D414100170B37,"2022-05-25 06:51:45"
185,GAL,0,2,112,30000,691D4141001A91BC,"2022-05-25 06:51:45"
186,GAL,0,2,114,1400,691D4141001516EB,"2022-05-25 06:51:45"
187,GAL,0,2,114,3636,691D4141001C50AA,"2022-05-25 06:51:45"
188,GAL,0,2,114,3710,691D414100317157,"2022-05-25 06:51:45"
189,GAL,0,2,114.5,7500,691D414100132289,"2022-05-25 06:51:45"
190,GAL,0,2,115,6400,691D414100115D0A,"2022-05-25 06:51:45"
